true,pred,key
[0. 0.],-0.968469,/euler/indrah/facerisk/wiki_imdb/wiki_crop/23/1507423_1969-01-02_2004.jpg
[0. 0.],-1.1902257,/euler/indrah/facerisk/wiki_imdb/wiki_crop/59/330859_1965-05-24_2009.jpg
[0. 0.],-0.15366133,/euler/indrah/facerisk/wiki_imdb/wiki_crop/35/32935935_1935-06-10_2005.jpg
[0. 0.],-2.6203792,/euler/indrah/facerisk/wiki_imdb/wiki_crop/56/1628256_1983-12-06_2008.jpg
[0. 0.],-0.7129433,/euler/indrah/facerisk/wiki_imdb/wiki_crop/18/6901318_1987-11-30_2012.jpg
[0. 0.],-1.1402102,/euler/indrah/facerisk/wiki_imdb/wiki_crop/44/4015744_1960-11-30_2012.jpg
[0. 0.],-0.48647296,/euler/indrah/facerisk/wiki_imdb/wiki_crop/92/16814892_1888-03-24_1944.jpg
[0. 0.],-0.099753246,/euler/indrah/facerisk/wiki_imdb/wiki_crop/17/7319117_1908-03-28_1953.jpg
[0. 0.],-4.0587277,/euler/indrah/facerisk/wiki_imdb/wiki_crop/67/2262667_1983-09-01_2006.jpg
[0. 0.],-3.0859911,/euler/indrah/facerisk/wiki_imdb/wiki_crop/37/14087437_1986-11-19_2010.jpg
[0. 0.],-0.7759654,/euler/indrah/facerisk/wiki_imdb/wiki_crop/28/28336028_1987-09-15_2014.jpg
[0. 0.],-0.49472412,/euler/indrah/facerisk/wiki_imdb/wiki_crop/13/42985613_1934-07-18_2013.jpg
[0. 0.],-3.3369737,/euler/indrah/facerisk/wiki_imdb/wiki_crop/80/916180_1977-10-11_2015.jpg
[0. 0.],-1.7040391,/euler/indrah/facerisk/wiki_imdb/wiki_crop/15/4345715_1910-11-03_1978.jpg
[0. 0.],-3.2607844,/euler/indrah/facerisk/wiki_imdb/wiki_crop/41/36539741_1968-10-14_2011.jpg
[0. 0.],-1.3985739,/euler/indrah/facerisk/wiki_imdb/wiki_crop/12/37933512_1937-08-30_1967.jpg
[0. 0.],-0.007331939,/euler/indrah/facerisk/wiki_imdb/wiki_crop/74/5922774_1980-04-23_2009.jpg
[0. 0.],-4.4903064,/euler/indrah/facerisk/wiki_imdb/wiki_crop/29/2298629_1988-12-02_2014.jpg
[0. 0.],-1.4173822,/euler/indrah/facerisk/wiki_imdb/wiki_crop/76/24896876_2004-01-10_2009.jpg
[0. 0.],-0.11351516,/euler/indrah/facerisk/wiki_imdb/wiki_crop/80/43585580_1940-03-02_2014.jpg
[0. 0.],-1.2113297,/euler/indrah/facerisk/wiki_imdb/wiki_crop/51/1944351_1979-10-23_2006.jpg
[0. 0.],-1.2811656,/euler/indrah/facerisk/wiki_imdb/wiki_crop/81/26739381_1971-01-01_2008.jpg
[0. 0.],0.3238655,/euler/indrah/facerisk/wiki_imdb/wiki_crop/28/5573528_1939-08-03_2010.jpg
[0. 0.],-1.4832021,/euler/indrah/facerisk/wiki_imdb/wiki_crop/30/14343130_1978-04-04_2014.jpg
[0. 0.],-3.5231822,/euler/indrah/facerisk/wiki_imdb/wiki_crop/23/1146123_1977-11-24_2015.jpg
[0. 0.],-2.300963,/euler/indrah/facerisk/wiki_imdb/wiki_crop/25/11572925_1992-05-29_2014.jpg
[0. 0.],-1.853561,/euler/indrah/facerisk/wiki_imdb/wiki_crop/61/1832761_1965-12-03_2009.jpg
[0. 0.],0.12221135,/euler/indrah/facerisk/wiki_imdb/wiki_crop/33/26462833_1988-03-29_2012.jpg
[0. 0.],-0.060589258,/euler/indrah/facerisk/wiki_imdb/wiki_crop/67/19867_1897-02-07_1950.jpg
[0. 0.],-0.5628071,/euler/indrah/facerisk/wiki_imdb/wiki_crop/67/1584467_1978-06-23_2009.jpg
[0. 0.],-2.1052752,/euler/indrah/facerisk/wiki_imdb/wiki_crop/85/460885_1955-04-25_2010.jpg
[0. 0.],-1.5108608,/euler/indrah/facerisk/wiki_imdb/wiki_crop/75/3075_1947-07-22_2011.jpg
[0. 0.],-1.5379614,/euler/indrah/facerisk/wiki_imdb/wiki_crop/32/854532_1950-04-13_2015.jpg
[0. 0.],-0.07408533,/euler/indrah/facerisk/wiki_imdb/wiki_crop/05/8767805_1930-06-19_2013.jpg
[0. 0.],-0.03756818,/euler/indrah/facerisk/wiki_imdb/wiki_crop/79/12171979_1931-06-02_2005.jpg
[0. 0.],-3.118197,/euler/indrah/facerisk/wiki_imdb/wiki_crop/51/40031851_1987-09-11_2014.jpg
[0. 0.],0.10984201,/euler/indrah/facerisk/wiki_imdb/wiki_crop/66/6951166_1930-08-12_2011.jpg
[0. 0.],-0.8997783,/euler/indrah/facerisk/wiki_imdb/wiki_crop/00/20613200_1990-03-09_2014.jpg
[0. 0.],-0.0059260144,/euler/indrah/facerisk/wiki_imdb/wiki_crop/77/21534177_1972-01-19_2014.jpg
[0. 0.],-0.44369596,/euler/indrah/facerisk/wiki_imdb/wiki_crop/78/3269378_1967-12-09_2006.jpg
[0. 0.],-0.8120255,/euler/indrah/facerisk/wiki_imdb/wiki_crop/05/18867705_1988-02-06_2008.jpg
